date,cases,new_cases,cases_avg7,cases_avg7_pc,cases_avg14,cases_avg14_pc,deaths,new_deaths,deaths_avg7,deaths_avg7_pc,deaths_avg14,deaths_avg14_pc,tot_pop
2020-04-09,464627,34499,31433.14285714286,0.09533125180926755,27084.785714285714,0.08214344136262164,18781,2111,1750.857142857143,0.005310045003337619,1750.857142857143,0.005310045003337619,329725481
2020-04-10,498022,33395,31596.285714285714,0.09582603570236574,28233.785714285714,0.08562815839606194,21038,2257,1875.142857142857,0.00568698194466462,1875.142857142857,0.00568698194466462,329725481
2020-04-11,529575,31553,31110.714285714286,0.09435338206607782,28984.785714285714,0.08790581069555166,23118,2080,1950.4285714285713,0.00591531041372132,1950.4285714285713,0.00591531041372132,329725481
2020-04-12,556574,26999,31317.571428571428,0.09498074377991862,29592.714285714286,0.08974955225166321,24797,1679,1995.142857142857,0.006050921060428621,1995.142857142857,0.006050921060428621,329725481
2020-04-13,582334,25760,30586.85714285714,0.09276461452142712,29903.214285714286,0.09069124471370256,26559,1762,2029.142857142857,0.0061540371432284215,2029.142857142857,0.0061540371432284215,329725481
2020-04-14,609001,26667,30072.428571428572,0.09120444219301502,30067.85714285714,0.09119057784574781,29264,2705,2096.8571428571427,0.006359402787123821,2096.8571428571427,0.006359402787123821,329725481
2020-04-15,638954,29953,29832.285714285714,0.09047613070063491,30288,0.09185823281883392,32010,2746,2191.4285714285716,0.006646221471214023,2191.4285714285716,0.006646221471214023,329725481
2020-04-16,670458,31504,29404.428571428572,0.08917851444859541,30418.785714285714,0.09225488312893147,34353,2343,2224.5714285714284,0.006746737988901223,2224.5714285714284,0.006746737988901223,329725481
2020-04-17,701933,31475,29130.14285714286,0.08834665361256341,30363.214285714286,0.09208634465746457,36639,2286,2228.714285714286,0.006759302553612124,2228.714285714286,0.006759302553612124,329725481
2020-04-18,730272,28339,28671,0.08695415323391399,29890.85714285714,0.09065376764999591,38588,1949,2210,0.006702545381987023,2210,0.006702545381987023,329725481
2020-04-19,755508,25236,28419.14285714286,0.0861903143516617,29868.35714285714,0.09058552906579016,40127,1539,2190,0.006641888862693023,2190,0.006641888862693023,329725481
2020-04-20,782860,27352,28646.571428571428,0.08688006562820491,29616.714285714286,0.089822340074816015,41963,1836,2200.5714285714284,0.0066739501657484225,2200.5714285714284,0.0066739501657484225,329725481
2020-04-21,808670,25810,28524.14285714286,0.0865087610779552,29298.285714285714,0.0888566016354851,44634,2671,2195.714285714286,0.006659219296777023,2195.714285714286,0.006659219296777023,329725481
2020-04-22,837442,28772,28355.428571428572,0.08599708001162511,29093.85714285714,0.08823660535613,47002,2368,2141.714285714286,0.006495446694683223,2141.714285714286,0.006495446694683223,329725481
2020-04-23,870835,33393,28625.285714285714,0.086815509761242,29014.85714285714,0.0879970121049187,49148,2146,2113.5714285714284,0.006410094306819522,2113.5714285714284,0.006410094306819522,329725481
2020-04-24,907511,36676,29368.285714285714,0.0890688994530141,29249.214285714286,0.08870777653278876,51272,2124,2090.4285714285716,0.006339906048779323,2090.4285714285716,0.006339906048779323,329725481
2020-04-25,941886,34375,30230.571428571428,0.09168406195628973,29450.785714285714,0.08931910759510185,53232,1960,2092,0.006344671918152423,2092,0.006344671918152423,329725481
2020-04-26,968555,26669,30435.285714285714,0.09230492475734901,29427.214285714286,0.08924761955450536,54484,1252,2051,0.006220326053599721,2051,0.006220326053599721,329725481
2020-04-27,991619,23064,29822.714285714286,0.09044710222354421,29234.64285714286,0.08866358392587456,55926,1442,1994.7142857142858,0.006049621277872321,1994.7142857142858,0.006049621277872321,329725481
