date,measure,value
2020-04-07,cases_avg7_pc,0.0911767134984806
2020-04-07,deaths,14586
2020-04-07,deaths_avg7_pc,0.00446561960259471
2020-04-08,cases,430128
2020-04-08,cases_avg7_pc,0.09324033493703292
2020-04-08,deaths,16670
2020-04-08,deaths_avg7_pc,0.00492184327985601
2020-04-09,cases,464627
2020-04-09,cases_avg7_pc,0.09533125180926756
2020-04-09,deaths,18781
2020-04-09,deaths_avg7_pc,0.00531004500333761
2020-04-10,cases,498022
2020-04-10,cases_avg7_pc,0.09582603570236574
2020-04-10,deaths,21038
2020-04-10,deaths_avg7_pc,0.00568698194466462
2020-04-11,cases,529575
2020-04-11,cases_avg7_pc,0.09435338206607782
2020-04-11,deaths,23118
2020-04-11,deaths_avg7_pc,0.00591531041372132
2020-04-12,cases,556574
2020-04-12,cases_avg7_pc,0.09498074377991862
2020-04-12,deaths,24797
2020-04-12,deaths_avg7_pc,0.00605092106042862
2020-04-13,cases,582334
2020-04-13,cases_avg7_pc,0.09276461452142712
2020-04-13,deaths,26559
2020-04-13,deaths_avg7_pc,0.00615403714322842
2020-04-14,cases,609001
2020-04-14,cases_avg7_pc,0.09120444219301502
2020-04-14,deaths,29264
2020-04-14,deaths_avg7_pc,0.00635940278712382
2020-04-15,cases,638954
2020-04-15,cases_avg7_pc,0.09047613070063493
2020-04-15,deaths,32010
2020-04-15,deaths_avg7_pc,0.00664622147121402
2020-04-16,cases,670458
2020-04-16,cases_avg7_pc,0.08917851444859541
2020-04-16,deaths,34353
2020-04-16,deaths_avg7_pc,0.00674673798890122
2020-04-17,cases,701933
2020-04-17,cases_avg7_pc,0.08834665361256341
2020-04-17,deaths,36639
2020-04-17,deaths_avg7_pc,0.00675930255361212
2020-04-18,cases,730272
2020-04-18,cases_avg7_pc,0.08695415323391399
2020-04-18,deaths,38588
2020-04-18,deaths_avg7_pc,0.00670254538198702
2020-04-19,cases,755508
2020-04-19,cases_avg7_pc,0.0861903143516617
2020-04-19,deaths,40127
2020-04-19,deaths_avg7_pc,0.00664188886269302
2020-04-20,cases,782860
2020-04-20,cases_avg7_pc,0.08688006562820491
2020-04-20,deaths,41963
2020-04-20,deaths_avg7_pc,0.00667395016574842
2020-04-21,cases,808670
2020-04-21,cases_avg7_pc,0.0865087610779552
2020-04-21,deaths,44634
2020-04-21,deaths_avg7_pc,0.00665921929677702
2020-04-22,cases,837442
2020-04-22,cases_avg7_pc,0.08599708001162511
2020-04-22,deaths,47002
